name,description,cityName,price,categoryName
Laptop,High-performance gaming laptop,Bangalore,75000,Electronics
Smartphone,Latest Android smartphone,Mumbai,60000,Electronics
Dining Table,Solid wood dining table,Delhi,15000,Home Decor
Saree,Handwoven silk saree,Kolkata,5000,Apparel
Bookshelf,Wooden bookshelf,Chennai,8000,Home Decor
Running Shoes,Lightweight running shoes,Pune,4000,Apparel
Yoga Mat,Eco-friendly yoga mat,Hyderabad,2000,Outdoor Gear
Backpack,Waterproof hiking backpack,Ahmedabad,3500,Outdoor Gear
Wall Art,Abstract wall painting,Jaipur,3000,Home Decor
Jeans,Comfort fit jeans,Surat,2500,Apparel
Wristwatch,Stylish analog wristwatch,Kochi,8000,Apparel
Tea Set,Porcelain tea set,Lucknow,2500,Home Decor
Desk Lamp,LED desk lamp,Patna,1200,Electronics
Novel,Bestselling thriller novel,Bhopal,800,Books
Sandals,Leather sandals,Kanpur,1200,Apparel
